Rank,Podcast,Change,Publisher
1,NPR News Now,--,NPR
2,The Daily,--,The New York Times
3,Up First,--,NPR
4,FOX News Hourly Update,1,FOX News Podcasts
5,Dateline NBC,-1,NBC News
6,Shawn Ryan Show,--,Cumulus Podcast Network
7,Pardon My Take,--,Barstool Sports
8,Stuff You Should Know,2,iHeart Podcasts
9,"Today, Explained",--,Vox Media
10,This American Life,-2,This American Life
11,On Purpose with Jay Shetty,--,iHeart Podcasts
12,48 Hours,--,Paramount
13,The Ben Shapiro Show,--,DailyWire
14,My Favorite Murder with Karen Kilgariff and Georgia Hardstark,1,iHeart Podcasts
15,The Ezra Klein Show,2,The New York Times
16,20/20,-2,The Walt Disney Company
17,Wait Wait...Don't Tell Me,-1,NPR
18,The Tucker Carlson Show,6,Tucker Carlson Network
19,The Tim Dillon Show,3,The Tim Dillon Show
20,Planet Money,11,NPR
